Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-September-2020,101.50,102.00,99.75,101.00,101.655728267127230857,1737,160,176576.00,1661,95.62,2.25,-0.50
22-September-2020,102.75,103.05,96.80,99.00,98.707356948228882833,1835,145,181128.00,1158,63.11,6.25,-3.75
21-September-2020,104.00,106.25,102.45,102.65,103.783886771910724006,1837,66,190651.00,1723,93.79,3.80,-1.35
18-September-2020,106.05,106.85,105.50,105.55,106.244029075804776739,963,26,102313.00,870,90.34,1.35,-0.50
17-September-2020,107.25,108.25,106.20,106.20,106.762747875354107648,1412,47,150749.00,1266,89.66,2.05,-1.05
16-September-2020,107.30,107.55,106.30,107.25,106.990909090909090909,220,22,23538.00,205,93.18,1.25,-0.05
15-September-2020,107.00,108.40,106.80,107.00,107.473404255319148936,188,19,20205.00,119,63.30,1.60,0.00
14-September-2020,108.05,108.25,106.65,106.70,106.857142857142857142,385,26,41140.00,365,94.81,1.60,-1.35
11-September-2020,108.70,109.00,106.50,106.50,108.017130620985010706,467,44,50444.00,456,97.64,2.50,-2.20
10-September-2020,109.40,109.40,107.50,107.65,108.072883172561629153,1866,87,201664.00,1598,85.64,1.90,-1.75
9-September-2020,108.70,108.70,106.25,106.95,106.861889927310488058,963,51,102908.00,840,87.23,2.45,-1.75
8-September-2020,109.50,110.00,107.30,108.50,108.295827827071927506,5297,148,573643.00,1838,34.70,2.70,-1.00
7-September-2020,109.00,111.80,106.25,108.30,108.455145118733509234,1516,110,164418.00,1268,83.64,5.55,-0.70
4-September-2020,108.80,112.15,108.80,111.35,111.568368277119416590,2194,77,244781.00,749,34.14,3.35,2.55
3-September-2020,112.05,112.05,112.05,112.05,112.047058823529411764,85,2,9524.00,85,100.00,0.00,0.00
2-September-2020,111.95,112.95,108.60,110.15,110.097986247544204322,4072,123,448319.00,714,17.53,4.35,-1.80
1-September-2020,109.00,112.20,107.50,109.00,108.710814094775212636,823,97,89469.00,577,70.11,4.70,0.00
31-August-2020,114.30,115.50,105.25,109.00,111.561349693251533742,5542,135,618273.00,3479,62.78,10.25,-5.30
28-August-2020,117.90,117.90,112.95,114.55,114.250918810557968593,2993,181,341953.00,2486,83.06,4.95,-3.35
27-August-2020,114.25,114.55,112.60,113.00,113.065837600585223116,2734,271,309122.00,2663,97.40,1.95,-1.25
26-August-2020,117.50,117.50,113.30,113.80,114.990768314472900536,3358,66,386139.00,3047,90.74,4.20,-3.70
25-August-2020,115.20,116.90,112.00,114.30,115.239138283788662895,8309,183,957522.00,4955,59.63,4.90,-0.90
24-August-2020,112.05,115.25,112.05,113.85,113.725374732334047109,1868,82,212439.00,1467,78.53,3.20,1.80
21-August-2020,119.50,119.50,114.60,115.30,116.280389966487255001,9847,384,1145013.00,5384,54.68,4.90,-4.20
20-August-2020,115.20,115.20,112.70,114.90,114.288308740068104426,881,71,100688.00,601,68.22,2.50,-0.30
19-August-2020,113.60,116.00,112.60,115.20,115.050701186623516720,927,61,106652.00,824,88.89,3.40,1.60
18-August-2020,114.80,115.35,113.75,114.15,114.477011494252873563,1914,64,219109.00,1576,82.34,1.60,-0.65
17-August-2020,110.50,114.90,110.50,113.95,113.588082901554404145,1158,81,131535.00,882,76.17,4.40,3.45
14-August-2020,117.25,117.25,112.60,113.25,114.671406003159557661,1899,95,217761.00,1560,82.15,4.65,-4.00
13-August-2020,118.50,118.50,114.00,116.45,116.502111486486486486,2368,184,275877.00,1598,67.48,4.50,-2.05
12-August-2020,113.20,118.00,107.50,113.90,114.829140638190106365,11846,438,1360266.00,5376,45.38,10.50,0.70
11-August-2020,117.00,117.00,112.25,112.25,114.342569269521410579,1191,96,136182.00,711,59.70,4.75,-4.75
10-August-2020,115.00,117.30,115.00,116.15,116.476010101010101010,792,24,92249.00,699,88.26,2.30,1.15
7-August-2020,114.95,117.40,114.00,114.70,115.672681736450038530,15572,654,1801255.00,6066,38.95,3.40,-0.25
6-August-2020,112.65,113.25,112.10,112.60,112.694533762057877813,311,29,35048.00,258,82.96,1.15,-0.05
5-August-2020,115.90,115.90,110.90,113.50,113.246468781985670419,4885,192,553209.00,1962,40.16,5.00,-2.40
4-August-2020,118.95,118.95,110.05,111.60,113.518634522905593520,31608,952,3588097.00,10901,34.49,8.90,-7.35
3-August-2020,111.15,111.15,111.00,111.00,111.030000000000000000,100,2,11103.00,100,100.00,0.15,-0.15
31-July-2020,113.30,114.95,112.00,112.00,114.519230769230769230,52,4,5955.00,52,100.00,2.95,-1.30
30-July-2020,111.40,111.40,111.40,111.40,111.400000000000000000,100,6,11140.00,100,100.00,0.00,0.00
29-July-2020,112.70,113.00,111.10,111.10,111.753846153846153846,65,7,7264.00,64,98.46,1.90,-1.60
27-July-2020,108.00,114.95,108.00,112.30,112.300850734725444702,1293,50,145205.00,1193,92.27,6.95,4.30
24-July-2020,112.00,117.50,112.00,112.45,112.829617834394904458,3140,52,354285.00,3029,96.46,5.50,0.45
